product_name,review
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"laptop sudah diterima, melebihi ekspektasi saya laptopnya mulus. padahal beli varian biasa tapi yang dikirim varian TS, kalau butuh laptop lagi saya akan order lg disini...."
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"puas, overall sesuai deskripsi, admin top response"
HP Probook 430 G7 i7-10th / HP Probook 440 G7 i5 i3 / Probook 430 G8,"paket sudah diterima .... semoga awet ya, tq seller"
HP Probook 430 G7 i7-10th / HP Probook 440 G7 i5 i3 / Probook 430 G8,"paket sudah diterima .... semoga awet ya, tq seller"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,semoga awet dan lancar dipake adek saya untuk skripsi nya 🙏🙏
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"Maaf baru bisa review sekarang,memang laptopnya baru saya coba performanya,visual fisiknya,bener2 kualitas thinkpad,seperti baru,kinclong,hari ke-3 ada catatan,sempat key..."
Thinkpad X395 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad X395 Ryzen 5 PRO 3500U / thinkpad X395,"paketnya tiba dalam kondisi yg bagus banget....
packingnya TOP BGT. bubble plus dus. 

tadi sempat ragu mo beli laptop lewat OL Shop..tapi setelah beli ga nyesel. 
kualit..."
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,Fast respon seller dan barang sesuai deskripsi
ThinkPad T14 Gen 2 Intel / T14 Gen 1 / thinkpad T14 G1 G2 Intel / T14,🎀🤘🏻
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"jarang² kasih ulasan. tp leptop nya worth to buy. buat kaum mendang mending, baru mahal bok. boleh di check out. semoga awet punya saya. thanks ya"
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"jarang² kasih ulasan. tp leptop nya worth to buy. buat kaum mendang mending, baru mahal bok. boleh di check out. semoga awet punya saya. thanks ya"
Thinkpad T480s Core i7 / thinkpad T480s i5 / T480s t480s,"MS office tidak bekerja, terpaksa install ulang sendiri"
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"Apresiasi sekali untuk Seller yang sabar banget menjawab pertanyaan2 saya sebelum beli laptop ini. Seller sangat paham dengan produk yang dijual, dan tidak segan untuk me..."
Thinkpad T495 Ryzen 7 Pro 3700U 16GB 512GB VEGA 2GB / thinkpad t495,"barang sampai dengan aman sekali, packingnya juga rapih, ga ada lecet nih laptopnya sama sekali layak kek barang baru beli padahal barang second keren sih ini, body lapto..."
ThinkPad X280 i7 8th / Thinkpad X280 i5 8th / thinkpad X280 i3 8th / ThinkPad X280,"utk kwalitas LapTop Mantul, pengiriman PARAH abis, mgaret 2Hari, onkir lbh mahal gak menjamin dateng ontime"
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,"kondisi barang bagus mulus seperti baru, seller juga fast respon. pokoknya recommended deh kalo beli di sini"
ThinkPad T470 T460 / Thinkpad T460 T470 / thinkpad T470 T460 / T460 T470,"unitnya bagus bgtt, semua normal, seller ngebantu bgt ramah juga, luvvvvv"
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,"cukup puas beli disini, baru beli laptop second pertama kali, unit lumayan mulus, sistem dan barere aman ,pelayanan baik. Rekomen. next kalo cari kayanya kemari lagi... M..."
ThinkPad X13 Yoga Gen 2 / Thinkpad L13 Yoga Gen 2 / ThinkPad X13 Yoga G1 G2 / ThinkPad L13 Yoga Gen 1 Gen 2 / thinkpad yoga,"overall puas, masih mulus, dan normal"
